text	label
并且还都是公费装的吧，真是爽，这位哥死了也这是值得了 //@宋峻tony: [晕][挖鼻屎]//@辰曦初升:[晕]//@喷嚏网铂程: //@王以超: [汗]//@何边走://@晓??窗:这句话听着怎么这么别扭？//@东方早报:【重庆警察已在周克华家守了半年多】东方早报记者@?志恒 现场报道。	0
同问，为啥不给咱出镜的寄一本呢[可怜][可怜][可怜] //@涛儿妈:哇噻，涛儿妈超开心哟！为什么大主偏@我爱厨房韩伟  没有给涛儿妈快递一本呢？！[抓狂]	0
今天的二位嘉宾说我的声音既像阿龙又像窦文涛[偷笑]。一直没发现，原来偶是混合体！[嘻嘻]	1
微信有奖活动最后一天啦！参与就有机会获得388元大礼包哦 [亲亲] 快发送【Bone8周年庆】参加吧！[亲亲] 仅需四步就能成为小丸家微信好友[心] ！！1. 打开微信 2.添加朋友 3.扫描二维码 4.添加成功 ，或者在“添加朋友” 界面中选择“查找微信公众账号”输入“BoneCollection”也可以找到小丸呢！	1
@佟大为 @魔王1987 @赵哥是?喵喵咪 @_Baby哨小赖_ [鼓掌]	1
猫屎咖啡免费品尝中[嘻嘻][嘻嘻]@小赖哥	1
#我爱满堂彩# 第一次听说分数能考的“爷爷奶奶样”，原来喜欢篡改分数的“熊孩子”遍布世界各地，不分国界和民族啊[哈哈]这外国方言杂那么容易就听懂了呢[哈哈]爸比呀，家庭暴力要不得呀[笑哈哈]	1
伦敦奥运闭幕式的音乐全集已经可以在iTunes下载啦[亲亲]	1
回复@大咔嚓:叔儿其实叫我去来着……但那晚像特么噩梦一样的存在，我果断选择不去！！！ //@大咔嚓:我了个去！你太有瘾了吧，婶儿一定是不信你说的那天夜里发生的事，一定要自己体验一把[衰]@七妙 对于叔儿的这股精神头，你我不服不行	0
那里的白沙滩非常赞，而且人很好，大多数是欧美人~另外推荐以前的一片象岛的详细攻略http://weibo.com/2641182103/A0sVBiBqw ，很详细，很清楚，墙烈推荐[偷笑]//@微笑女王-chirs: 我想去啊[抓狂]	0
要刷微博我求求你们看一下这个视频,妖魔化反应过激过度恐慌会害了所有人,做好个人防护,自我隔离自我隔离自我隔离!不要给医护人员增加负担了!	0
严查呗，问题很明显呀[怒] //@陈建才:就这么烧了 //@武大沈阳:转发微博	0
#武汉加油# 我们一起,打赢这场防御战!向战斗在一线的医护人员致敬!	1
#致敬疫情前线医护人员# 感谢所有的医务工作者们,希望大家都能健康平安《心》	1
果断收藏转给更多人看。很全面很到位，没什么可补充的了[失望]	0
某客人，给了我们2个中评，一个差评；电话短信旺旺沟通，统统不理会；我们中秋前给他快递了一盒月饼过去；然后发现2个中评改了；但是差评就是没改，肿么办啊[泪] 再寄月饼还管用么？	0
@刘小雨钟 雨钟钟~生日快乐！[蛋糕][蛋糕]和@up向日葵罗智文 幸福的一对~早日修成正果哦~[哈哈]	1
父爱深沉！[泪][泪][泪] //@浮云天马心:有人，坚持着努力地活着、然后最终成就了自己。普通人的父母，更不平凡的爱。  //@渡渡鸟文摘:这个父亲，让人泪流满面。哭到抽噎。关于家庭教育，没有什么可以纠结，即使匿迹藏踪的苦劳苦作，心头有爱与责任，所有的重量都会化作天堂的阶梯。。。泪飞。	0
[泪][泪][泪] //@刘启斌:回复@Ricky_IClick:这种方式还能永续经营！[偷笑]发人深省… //@Ricky_IClick:?果就是中?人一直有生意做[偷笑]/@素?天使: 真心笑唔出。 //@高慧然:  //@卢健生: [失望]	0
[good][鼓掌] //@AMY陈晓晨: 瑞尔助小朋友们欢度暑假！[哈哈][哈哈]	1
litchi在我腿上睡着了,yuma也躺在我旁边守着,第一次被小动物依赖挂念的感觉好幸福,保持姿势一动不动,手机快没电了也不敢去拿充电器,生怕惊醒它们。今晚是最后一次跟litchi一起度过了,希望它可以要找到一个能够善待它的家庭。	1
我已经第11了。快！//@蕙蕙ybbhuihui:回复@0o下一站的幸福o0:嗯嗯，很man啊，我蛮喜欢黄宗泽，又能发ci又能man[抱抱] //@0o下一站的幸福o0:回复@蕙蕙ybbhuihui:看了~许sir超帅[花心][花心][花心]	1
//@Historia咖啡?:回复@黑摄会被抢注:嘿嘿，是的。谢谢！//@黑摄会被抢注:哈，你家就是沉香啊，猫猫的照片真可耐[心]//@Historia咖啡?:[哈哈]过年好！	1
我压力真的很大,手心手背都是肉,所以我要尽快把3m做好,赚钱干活!!!爸爸,我真的很心疼他!!我会加油的!开源节流!!做好mmm!!!	1
今天还有一朋友，两口子都是北京人。为了能多购置一套房子只能离婚[抓狂][抓狂]感谢伟大的国五条，直线拉动离婚率！	0
儿时看张乐平老先生的三毛，只觉得荒诞跟好玩。今日再看，才发现老先生的用意如此之深。立马泪奔了[泪]	0
哈哈，是的呢。。。眼看着大黄同学也老了[泪]	0
我都不知道自己为什么会这么贱，我之前也不这样啊。。。我败了[泪]	0
回复@欧xiao赖: [泪][泪][泪] 卖家就大的弱点就是不舍。 我那个都不舍得出手啊！！！ //@欧xiao赖:……[good][good]你是卖家	0
昨天晚上吃了包过期的方便面，竟然没闹肚子，夜里腿抽经了[泪]	0
my 路飞！[蛋糕][蛋糕][蛋糕][礼物][太阳][心][鼓掌][爱你][爱你][爱你][爱你][耶][耶]	1
新春伊始，康源瑞廷酒店健康养生系列讲座又要开始啦[鼓掌] 欢迎俱乐部会员们报名参加[微风] @健康主题酒店-sally苏	1
[嘻嘻] //@李开复:这个魔术不错，很神奇，也很适合冒牌魔术师。我几年前在《咏乐汇》就变过一次。[偷笑]	1
犯了错不可怕,可怕是你犯了错但还没酿成大祸时,有人发现却不跟你说,等着事情发现看着你死。落井下石的小人。	0
本来事情发展不是这样的。你是要死的刚开始,没想到给你所需要的所有的东西,你却活过来了。没想到这么快。就比如人一样,利用完你就相当于一颗灰尘,没价值还嫌你污染空气	0
//@李胜素: 祝师傅师爹身体健康，永远年轻开心[爱你][爱你] //@???_PiPi:好乖好乖～好孩纸一枚！[爱你]	1
春意盎然//@老箭摄影:春天的气息.[good]//@茗茶坊美妇: 太美了[鼓掌]//@京M银狐:春天的气息――索尼微单 @刑警视觉 @老箭摄影 @BJ老赵摄影 @机场大郭 @沈太玲 @茗茶坊美妇 @开心蓝色的海 @嗜吃慧 @霍新华huoxinhua @谢颖anna @准备微笑的海燕 @幸福的清雅小院	1
为了找个聚餐的借口[嘻嘻]好吧，我们是大河网＆@大河邦邦网 2012年最佳合作伙伴[哈哈]	1
真心相信了@evitawu  说的：胸大，穿什么、怎么穿都不好看。//@joyshen的围脖:静脉曲张啊// @有劳姑娘 :容嬷嬷，上针！ // @夏林菲 :[衰]	0
跟产品混饭吃，等pizza，现在了还灭有。饿死鸟~~ [泪]	0
偶真是后知后觉了点儿，看了几段儿芒果台的「百变大咖秀」，笑疯了?赶紧补课！[哈哈][哈哈][哈哈]	1
每天在特9上捧读张维迎的这本新书,虽然是对话体,虽然是访谈录,虽然不成体系,虽然但是依然好看,依然精彩,依然可读,值得推荐[鼓掌]	1
呵呵！是不是有种寻找的快乐啦！ //@Funkie:里面的五花肉也香酥可口[馋嘴] // @三样菜帮主 : 呵呵！有时间来北京玩啦！然后就可以来感受感受江湖的火辣与激情啦！ // @张富升 :我也想吃～[馋嘴][花心][抓狂]	0
回复@OGA小朋友: 1？我跟BPA学的歪~~~LOOK――大家好，由于公司有新规定，大家要怎样怎样怎样。。。[生病] //@OGA小朋友:[衰] 这个微博用大家好的format开头...请...请问...是闹哪样呢？	0
糯米饭包油条，夹着雪菜辣椒酱，在家乡时最爱的早点，要回北京啦，吃不到啦！回北京啦！[泪][嘻嘻][哈哈]小伙伴们，我回来啦！[马上有对象][马上有对象][马上有对象][哈哈][哈哈] 我在这里:http://t.cn/z8A801z	0
[衰]  //@环球街拍:真的想减肥啊！！	0
第一次健身以失败而告终，走步25分钟，动感单车20分钟。脚抽筋持续。身体素质忒差[泪]	0
回复@中国饭店协会:[哈哈][给力]支持！ //@中国饭店协会:@邹洪6888 @郭仁宪 @海德张云雷 @城市名人酒店集团	1
#武汉加油# 我们一起,打赢这场防御战!向战斗在一线的医护人员致敬!	1
//@谈曲说艺清平客:哪天应该当定场诗使，?波使效果最好//@评书连波: 依稀只记得头三句，看见完整版了[嘻嘻]//@天桥杂役王Sir:[哈哈][哈哈][哈哈] 真有这个！还有人记得喔！//@运气好得冒泡:@评书连波 诸位，有这事儿吗？[嘻嘻]	1
都不想那么不给面子你投诉到你们老总面上,给了几个小时你都做不到一张单子来确认,一直说要等着你的单子急有急事要出去,有些人就这样,当你理解她工作的时候,她真的不会站在你的立场上为你想一下!非要大喷不可!	0
[good] //@全球顶尖摄影:[爱你][爱你]	1
我就想，大手拉小手，幸福地走完漫漫人生路。[心] 昨天晚上熊胖胖躺在沙发上，我靠着他，多比猫跳到我身上发出呼呼声，一起看电影，就很幸福。[亲亲] //@//@N-暖暖:想爱特很多人~对号入座吧 //@精彩电影:结婚的意义，感动你了吗？	1
#微信#美文分享平台升级啦！在日后的每一天，我们将精心为亲奉上一篇《微美文》，与亲分享维景每一天、每一处、每一刻的点滴美好。每个周末，我们将点滴穿结，汇成一本精美的《微美刊》。为亲的手机微生活增添更多缤纷色彩！期待您喜欢，更希望您与亲朋好友们一起分享美好哦[爱你]微信号：sanyaweijing	1
穆斯林狂欢节，之所以这么有秩序，是因为有信仰，有信仰有理想有梦想，我们要做有理想的人，我们太过缺乏了！[嘻嘻]！	1
我觉得十大酷刑里应该加个胃镜检查[泪][泪]	0
#我不是明星#本期最后登场的嘉宾是新补进的明星子女@张楚楚 ，首次登场的她信心十足，今年26岁的她在学生时代可是十足的学霸，其实楚楚和母亲长得十分相像，你能猜到她的明星母亲是谁吗？[嘻嘻]	1
卧槽,一直网页网页加载加载,你妹啊,急死哀家了	0
//@冷笑话精选: 太可爱了 萌翻我啦！[爱你]	1
#北京突发#【今儿中午！什么情况？！[话筒]】@-GY高岩-：不知道是故宫里面着火还是景山着火了？[晕][晕][晕]@北京全攻略	0
[鼓掌] //@王哥V: @嘻哈包袱铺崔曙光  小西服驾驭的不错[鼓掌][鼓掌]	1
长白山最美的瞬间------摄影家们眼中的长白山[可爱]	1
如果他还是这个神一样的逻辑，那我就认输了。。。[衰]//@老游王欣磊: 问题是你怎么证明你是176呢？肘子方同学分分钟可以证明你是165。哈哈哈	0
《礼物》《赞啊》《拜拜》偶像 崇拜你 《lt羞》《害羞》	1
[哈哈][嘻嘻] //@台北县令:右面不带你们这么玩的。//@?壹黄金李忠华: 我注册一个品牌 叫爆米机 //@谷?v:我打算注册个手机品牌叫（电饭锅），把你们一网打尽[哼]	1
[偷笑][偷笑] 你调游戏部吧。太赚钱了[花心][花心]//@TinaWu2011:我只能说我内牛满面了[泪][泪][泪]//@茉莉香片1982: @TinaWu2011 每年这个时候，关于腾讯的段子都很多[嘻嘻] //@zilich:转发微博	1
睡不好觉[汗] //@王谨1688:不怪人家，人家再穷，也没穷了教育！而我们呢？能有庞大的政府三公消费，可就是没钱让百姓享受应有的社会福利！读不起书、看不起病、养不起老、住不起房、还死不起！[汗][泪]	0
接到电话，小白已经可以出院啦！[兔子]周一接它去，终于要告别挤公车的日子了。[哈哈]	1
首页被mako酱刷屏啦~~~mako酱生日快乐~~~	1
#带着微博去大连#随着秋季的临近，大连的螃蟹也越来越肥了，这次得好好过过瘾！[哈哈][哈哈][哈哈][馋嘴][馋嘴][给力]	1
除了爱情，其他都可放弃，简书记：） //@简直:这样的狮子座，在当下天朝，是进不了常委的[哈哈]。 //@权聆: 狮子座最需要爱。世俗的平庸者不适合狮子座。	1
当医生不容易啊！感慨万千！[汗][晕][衰]	0
#敢吃逗你玩#据说全世界最假的六个字：上班了！真开心！！！[泪]	0
与闺蜜的旅行同样有爱~！[抱抱] 秀出你#最有爱的旅途合影#，赢价值八千元的越南游轮双人三天两夜免费游哦~报名地址：http://t.cn/zjyDKhV	1
//@桔子水晶司振石:感谢您来照顾我们生意啊，祝您节日快乐[哈哈]	1
好美的巴马~//@广西巴马长寿地质公园: 回复@__州牧碎碎念:巴马寿乡旅行社在寿乡大酒店一楼。联系电话是：0778-6216177 //@__州牧碎碎念:求巴马旅行社地址，电话[可爱] 我在汽车总站。[偷笑] //@广西巴马长寿地质公园:第二届中国旅游产业发展年会正在火热举行,喜欢巴马的朋友都帮忙转起来吧!	1
哇，吐后综合症-声音像阿杜一样[泪] //@凯瑞?:哈哈哈// @陈嘉君-Rod ：是里边的还是外边的？这个问题很严肃 // @张瑾? :笑死了，小费，哈哈	0
回复@好灵东:我苦等你不着，心凉如秋[泪][泪] //@好灵东:谢谢杨总[兔子]收到伏帝魔的贺电好受宠若惊。只是今年生日忙得找不到北，但是心很温暖[手套]	0
很多人都说，好朋友之间亲切地叫对方“神经病”是一种感情融洽与相互信任的体现，但为啥我总觉得我的好朋友在喊我“神经病”时叫得那么发自肺腑呢。[泪][泪]	0
[蜡烛][蜡烛] //@葡萄酒专家朱芷?:[泪][泪][泪][泪][蜡烛][蜡烛]	0
回复@cathy_Junjun:才10多块一个，黄特多 //@cathy_Junjun:哎呦，好肥美的大闸蟹呀[哈哈]	1
特别是那种为了一个统计还硬生生的加个登录来阻碍用户流程的行为。[衰][衰][抓狂][抓狂][抓狂]，反思。	0
集体加班的感觉真壮观，办公室全是脑袋[嘻嘻]	1
天了噜,你在逗我吗珠海第三次尝试入冬失败供什么暖,制冷还差不多	0
[good]//@热点美食天天在: [嘻嘻][围观] //@热点红姨:美女估计很久没来这里拉！ //@王星餐饮品牌策划人:金总年轻有为，漂亮知性 //@勤劳的工作狂:[围观][给力] //@热点红姨:回复@杭州v小童:看得出哈！@爱老夫子 @王星餐饮品牌策划人 @热点联盟 //@杭州v小童:全国最美老总两岸咖啡总裁金梅央。	1
我请您吃：蒸羊羔、蒸熊掌、蒸鹿尾儿、烧花鸭、烧雏鸡儿、烧子鹅、卤煮咸鸭、酱鸡、腊肉、松花、小肚儿、晾肉、香肠……[哈哈]	1
当你真正爱一样东西的时候你就会发现语言多么的脆弱和无力。文字与感觉永远有隔阂。	0
看着数字一个个增长,很揪心.但也感动于一个个志愿者,军人前往武汉给予支援.我们能做的就是好好的待在家,保护好自己就是保护好家人和他人.感恩,医护人员感恩,所有志愿者感恩,一切参与救治的国内外友人武汉加油中国加油愿每一个人都平安,愿危难时的逆行者们,你们全数平安归来!《心》《心》《心》《心》《心》《心》《心》《心》《心》《心》《心》《心》《心》《心》《心》《心》《心》#封城日记# 成都·西锦国际	1
曦阳在此感谢各位师友多年的提携和帮助，提前祝各位新年快乐，新春大吉大利[嘻嘻]@俞晓群@朱大平 @吴鸿的最近999@时代出版唐元明 @张国功 @出版人莫违 @贝为任 @ 凌永照@倪艺宁 @苏秦拜相 @后声文化 @微言轻启	1
吃货们看过来，旅馆也可以有好吃好喝滴[嘻嘻]！介时间转发不对呀[晕]	1
今晚，我到西安！[抓狂][飞机]听说那里宵 禁？[汽车] //@西安快报:西安，西安！	0
太恐怖了!!!太吓人了……孩子一定得自己抱	0
半夜3点终于搞定去意大利相关机票+酒店了！@热情的pistache @XiAoxiA--zz 圣诞我去意大利哦 (～ o ～)~zZ 在此，灰常感谢@小昱在路上 @乐冰影 对意旅的宝贵意见~ 现在万事俱备只差东风咯[哈哈][酷]	1
慢慢的你会明白:其实幸福不需要甜言蜜语也不需要山盟海誓更不需要华丽的外表,原来…最幸福的是平淡中的陪伴,每天一起晚安👪	1
祝平安! 了不起。加油! 一定要注意好自己的防护。祝福!《作揖》《作揖》《作揖》 《作揖》《作揖》《作揖》《作揖》《作揖》《作揖》《作揖》《作揖》《作揖》《作揖》《作揖》	1
我知道在微博和朋友圈,有人把我屏蔽掉。我也不介意,毕竟这是朋友自己的决定。虽然每天会看到朋友圈里秀恩爱,秀婚礼,秀孩子,其实我还是很开心的。毕竟,他们愿意分享,让我看到。想想,也挺开心的。至少还是有人不讨厌,不是嚒?😳	1
#德钦御庭#前往梅里的路上，各种杜鹃花、格桑花让人目不暇接[爱你][哈哈]	1
"【同犯律师：李天一等5人曾串供 称反正是嫖娼】李天一同案犯代理律师受访再披露细节""5人基本上都认为自己是嫖娼，事后他们也没当回事儿，在被抓之前串过一次供，因为那边老说要去报案，他们就在一块儿专门聚了一次说这事儿。李天一还曾说""反正就是嫖娼，谈好了，给钱了""[晕]...http://t.cn/z8N3sga"	0
嗯嗯，真感谢有你们在[泪]！我也爱你们！@梧桐里闻雨 @SMG我的1997 @?毛毛Roland	0
「今夜」年? ?透?? ??大家全力配合我???的?? 很?超美 [good][good][good][爱你][爱你][爱你]	1
[衰]//@孟土豆: 早上8点多，正是需要出租车的时候，可是......如果是安排的这个时间来交接班，那也不应该停在这里，是不是应该随接随走呢？况且！这里还禁止停车呢！ //@孟土豆:回复@风野-叶科:看来不是价钱的问题，不是车不够的问题，而是你们需要它的时候它该换班了！政府，发改委，你们懂吗？！！！	0
为全国所有奋斗在一线的同仁们儿加油! #致敬疫情前线医护人员#向所有医护人员致敬??一定保护好自己,愿大家都健康平安!	1
真好,一路前行总能遇见很多优秀,坚定而拼搏的伙伴。我们终将过上庸庸碌碌的生活,但至少,二十几岁的最好时光里,我们都曾热血无畏	1
心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好心情不好	0
友妻临盆在即，群友关心宝宝名字取好了没，友答曰需要根据生辰八字而定，遂引发众回复:1.大的命格已经定了，狮子座；2.大的命格已经定了，属蛇；3.大的命格已经定了，出生在中国。←_←#命格是不是真的有恁个重要嘛[泪]#@老格 @阿飞飞 @如小果Ken @迟迟来迟	0
[鼓掌][鼓掌][鼓掌][鼓掌] //@Lavender水晶控:就在今晚8点哦！ //@马小晶:我噻，有帅哥都扮上啦！赞！今晚@卢米埃北京芳草地影城 是《魁拔2》的明星首映礼，你期待吗[嘻嘻]@杜比Dolby @Lisa的Traum小屋 @Lavender水晶控 还有“北大四人组” ！真实版“中国合伙人” [给力]/	1
感谢小海老师的支持！[爱你] //@小海学摄影:腾龙行！ //@北京-橙色咖啡: 作为@中国摄影师协会 @中国摄影师联盟 的成员[威武]，这次的腾龙行将是我难得的学习机会，@小海学摄影 @薛欣 @广顺园主 @梁榕刚 请诸位老师多多支持哦！[爱你]	1
#武汉封城#就知道一定会封城,武汉人民一定会配合,今年过年家里就我一个人,也不去走亲戚,昨天囤了很多菜和饺子。妈妈本来是22号晚上的卧铺车票已经退了。中国人过阴历,2019快结束了,2020一定会很好!武汉加油!中国加油?? ! ??武汉	1
之前害怕天冷天黑,尤其不喜欢冬日的晚上,只有等待和打发时间。其实四季中冬季最深刻,天黑时也可以做好多事情。天冷就加衣,天黑就开灯,等待时做自己喜欢做的事情,不再虚度年华,不再辜负自己。广州23度,这个温度好喜欢,夜景也非常漂亮	1
这一生又有谁能真正陪你走到最后呢[泪] //@胡爷励志要成为大女人://@胡冬冶:看得我心里很酸//@梦庆?: 鼻尖酸了...眼眶湿了！	0
@小f拼拼拼毕业 说的都对吗//@创意工坊:看完这个真心觉得厦门白去了[泪]	0
她离开我们50年了，但却是我永远的偶像：玛丽莲梦露！[爱你]	1
[鼓掌]太牛了~~~！[兔子] //@全球时尚:一次失恋成就的一个歌手，歌声中都是故事的女人。你很喜欢的一个歌手。	1
早上在阳台梳头,楼下一女孩一边等校车一边望着我。我朝她笑她也笑笑,我摆摆手她也摆摆手。太可爱了	1
???。。。。。无限?，懒人懒马屎尿多，拖到现在有马无鞍[尴尬]#星星书屋#至今大家付出很多，俺就只躲在后头冻了嘴皮子[衰]，南京的亲们互相转告，将您孩子看过的书捐给西藏偏远山区的孩纸们#让我们一起#[爱心]@石头流浪记 @星星书屋公益图书室 @lyq小事记 @懒人业余餐厅南京店	0
我木有加入神秘骷髅会！[汗][嘻嘻] //@西安许姐:@禚洪梅 @听雨红尘外 @长江傅桦 @庆阳麦客  //@意性阑珊: 《福布斯》总结亿万富豪共性：处女座最多 @主持人孙维 @西安许姐 @艾作蒙 @北区21栋 @喵星yo	1
我。。。我。。。我又坐反方向了！！！[泪]这。。。这。。。这分明是要作死的节奏啊！！！走路被溅水坐地铁被人手肘戳到额头结果还坐了反方向的车！！！黑色星期四吗！？！？几个意思？！	0
[哈哈] [哈哈] [哈哈] //@全球创意搜罗：给力！宠物还能这样！[哈哈]	1
乔小姐本人表示有难度 //@Lorna08:[good]认同宝石小姐说的，她的婚纱照真美！也期待乔小姐的[哈哈]//@旁雅雅:看到过去的宝石小姐的影子不禁笑了，想起当下已于2013，5，20登记结婚婚纱照里美美的宝石小姐。真心祝愿幸福，相携到老！	1
被右边这位导演一转发，我真以为是《甲子园》的排练片段或者纪录片一类的，特意的收藏起来，今天打开一看，直接就掉凳了……[衰] //@徐昂xuang: 预祝甲子园演出成功！	0
"可怜的大黄鸭爆了[蜡烛]//@台湾自由行: 因为修复的费用太高，桃园这只黄小鸭基本就是不""再见""[伤心] 了，所以，你们这些幼稚的人类，就继续发挥创意来哀悼吧[蜡烛] ！（高雄的那只黄鸭姐姐，预定最快星期日就来代班，不过，如果风太大，水鸭会上岸当旱鸭）"	0
[给力][爱你][耶][落叶][鲜花]汇融天地私房茶专柜开张！慧宇琥珀店内，欢迎光临！@武夷山红骏茶业 @上海红骏茶业 @陈烟旧雨 我在这里:http://t.cn/zRT7we6	1
[good]//@上海麦哥: 回家真好！//@蓝色的阿布流:害我大中午的办公室里彪泪[泪] //@Kensun:i want go home!	0
宝珠 加油！//@夏陌的宝珠: 谢谢！[爱你] @厦门的玲子 @快乐森活 //@醉美林芝:[鼓掌]好美！	1
收到一个平安礼物，说是吃了它就会平平安安，就当我的晚餐吧![馋嘴]只希望病快点好起来。[晕]	0
征集青春条顺的妹子一同前往，免费帮拍青春写真哦！报名请私信@妈妈姓夏 [亲亲]求帮转~@DC21 @encore-安可曲 @风惹尘埃 @空心菜XM @TIM生命?客 @南台之春@安子摄影师 @老虎哥来了 @小手老湿	1
[爱你] //@魔厨卡利:用我的行动换取您的真心。@嘎兰 @孔霸天 @李晨 [心]	1
回复@杏眼圆睁:扬州的朋友们已经开始行动了，谢谢大家了[给力][鼓掌] //@杏眼圆睁:得！有扬州的吃货们呼应，估计这事很快就能解决了~微博的再次胜利~ //@一麻一辣冯岩:回复@熊猫小姐爱美食:好的，放心，一定。。。  //@熊猫小姐爱美食:回覆@一麻一辣冯岩:老板，速度，扬州的吃货们迫不及待~	1
//@邓半缘: 这帮2B还觉着这场雨是天降甘霖呢吧，可逮着贴条儿机会了~//@十万嬉皮Fz: 没话说，这他妈的纯傻逼 //@和菜头: 瞎鸡吧积极，啥鸡吧人啊，办的啥鸡吧事！ //@宁财神:[怒][怒][怒] //@onextiger:这是协管 不是城管 这帮协管算是最孙子的一帮人了 就指着罚款挣钱的	0
#全国确诊新型肺炎病例# 武汉不是封了吗 为什么陆陆续续还有那么多人回来 且没有被隔离 打电话投诉 说不归他们管 应该归谁谁处理 都她妈什么时候了还在纠结谁该负责 十八线城市小城镇也需要你们呀!! ??	0
[偷笑] //@吴晓昀:娃他爸真懂娃他妈[泪][爱心传递]	0
